index,phu_id,age_group,age_group_count
0,2226,<20,1
1,2226,20s,5
2,2226,30s,3
3,2226,40s,2
4,2226,60s,1
5,2227,<20,15
6,2227,20s,13
7,2227,30s,13
8,2227,40s,12
9,2227,50s,8
10,2227,60s,6
11,2227,70s,2
12,2227,80s,2
13,2230,<20,81
14,2230,20s,70
15,2230,30s,80
16,2230,40s,97
17,2230,50s,109
18,2230,60s,45
19,2230,70s,28
20,2230,80s,57
21,2230,90+,42
22,2233,<20,10
23,2233,20s,1
24,2233,30s,1
25,2233,40s,6
26,2233,50s,6
27,2233,60s,2
28,2233,70s,1
29,2233,80s,3
30,2233,90+,1
31,2234,<20,7
32,2234,20s,19
33,2234,30s,20
34,2234,40s,26
35,2234,50s,20
36,2234,60s,5
37,2234,70s,4
38,2234,80s,3
39,2234,90+,7
40,2235,<20,7
41,2235,20s,9
42,2235,30s,6
43,2235,40s,9
44,2235,50s,12
45,2235,60s,5
46,2235,70s,5
47,2235,80s,7
48,2235,90+,7
49,2236,<20,43
50,2236,20s,52
51,2236,30s,64
52,2236,40s,77
53,2236,50s,70
54,2236,60s,36
55,2236,70s,24
56,2236,80s,61
57,2236,90+,45
58,2237,<20,51
59,2237,20s,100
60,2237,30s,86
61,2237,40s,83
62,2237,50s,84
63,2237,60s,66
64,2237,70s,46
65,2237,80s,65
66,2237,90+,49
67,2238,<20,8
68,2238,20s,8
69,2238,30s,3
70,2238,40s,4
71,2238,50s,8
72,2238,60s,1
73,2238,70s,4
74,2238,80s,1
75,2240,<20,6
76,2240,20s,5
77,2240,30s,12
78,2240,40s,11
79,2240,50s,5
80,2240,60s,4
81,2240,70s,2
82,2240,80s,2
83,2240,90+,2
84,2241,<20,12
85,2241,20s,7
86,2241,30s,7
87,2241,40s,3
88,2241,50s,8
89,2241,60s,8
90,2241,90+,2
91,2242,<20,14
92,2242,20s,9
93,2242,30s,10
94,2242,40s,14
95,2242,50s,13
96,2242,60s,7
97,2242,70s,6
98,2242,80s,12
99,2242,90+,11
100,2243,<20,8
101,2243,20s,8
102,2243,30s,5
103,2243,40s,10
104,2243,50s,13
105,2243,60s,15
106,2243,70s,15
107,2243,80s,9
108,2243,90+,12
109,2244,<20,100
110,2244,20s,65
111,2244,30s,47
112,2244,40s,50
113,2244,50s,54
114,2244,60s,22
115,2244,70s,18
116,2244,80s,21
117,2244,90+,12
118,2246,<20,49
119,2246,20s,108
120,2246,30s,105
121,2246,40s,86
122,2246,50s,89
123,2246,60s,58
124,2246,70s,61
125,2246,80s,94
126,2246,90+,76
127,2247,<20,3
128,2247,20s,6
129,2247,30s,2
130,2247,40s,3
131,2247,50s,2
132,2247,60s,3
133,2247,70s,1
134,2249,<20,11
